Location,rent_per_sqft
"DHA Phase 6, DHA Defence",411.1111111111111
"DHA 9 Town, DHA Defence",96.29629629629629
"DHA Phase 2 Extension, DHA Defence",133.33333333333334
"DHA Phase 5, DHA Defence",194.44444444444446
"DHA Phase 8, DHA Defence",711.1111111111111
"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",133.33333333333334
"DHA 9 Town, DHA Defence",77.77777777777777
"DHA Defence Phase 2, DHA Defence",222.22222222222223
"DHA Phase 1, DHA Defence",518.5185185185185
"DHA Defence Phase 2, DHA Defence",118.51851851851852
"DHA Defence Phase 2, DHA Defence",118.51851851851852
"DHA 9 Town, DHA Defence",140.74074074074073
"Gulberg, Lahore",222.22222222222223
"Upper Mall, Lahore",370.3703703703704
"Cantt, Lahore",370.3703703703704
"Valencia Housing Society, Lahore",177.77777777777777
"DHA Phase 8 - Zone B, DHA Phase 8",407.4074074074074
"DHA Phase 4, DHA Defence",355.55555555555554
"DHA Phase 7, DHA Defence",240.0
"Military Accounts Housing Society, Lahore",151.11111111111111
"DHA Phase 7 Extension, DHA Defence",333.3333333333333
"DHA Phase 6, DHA Defence",248.88888888888889
"Military Accounts Housing Society, Lahore",88.88888888888889
"Military Accounts Housing Society, Lahore",74.07407407407408
"Military Accounts Housing Society, Lahore",124.44444444444444
"DHA Defence Phase 2, DHA Defence",170.37037037037035
"Gulberg, Lahore",333.3333333333333
"DHA Phase 7 Extension, DHA Defence",148.14814814814815
"DHA Phase 5, DHA Defence",407.4074074074074
"DHA Phase 6, DHA Defence",148.14814814814815
"DHA Phase 6, DHA Defence",204.44444444444443
"Ittehad Commercial Area, DHA Phase 6",188.88888888888889
"DHA Phase 3 - Block Z, DHA Phase 3",213.33333333333334
"DHA Defence Phase 2, DHA Defence",155.55555555555554
"DHA Phase 4 - Block CC, DHA Phase 4",192.59259259259258
"DHA Phase 3 - Block X, DHA Phase 3",259.25925925925924
"DHA Phase 5, DHA Defence",888.8888888888889
"Khursheed Alam Road, Lahore",166.66666666666666
"DHA Defence Phase 2, DHA Defence",118.51851851851852
"Bahria Town - Sector E, Bahria Town",200.0
"DHA Phase 4, DHA Defence",266.6666666666667
"DHA Phase 4, DHA Defence",200.0
"DHA Phase 6, DHA Defence",237.03703703703704
"DHA Phase 1 - Block N, DHA Phase 1",168.88888888888889
"DHA Phase 1, DHA Defence",204.44444444444443
"DHA Phase 2, DHA Defence",311.1111111111111
"DHA Phase 5, DHA Defence",361.1111111111111
"DHA Phase 8, DHA Defence",1851.851851851852
"DHA Phase 8, DHA Defence",370.3703703703704
"DHA Phase 8, DHA Defence",444.44444444444446
"DHA Phase 6, DHA Defence",400.0
"Main Market, Gulberg",320.0
"Paragon City, Lahore",102.22222222222221
"Paragon City, Lahore",91.85185185185185
"Paragon City, Lahore",93.33333333333333
