name,lat,lon,layer
Unnamed parking,31.571705644070967,74.31588242588653,parking
Unnamed parking,31.571573322560063,74.31522687754318,parking
Unnamed parking,31.572174181769263,74.31328625310807,parking
Unnamed parking,31.57262541602804,74.31503975182225,parking
Unnamed parking,31.54439325316959,74.33853623747339,parking
Unnamed parking,31.53948148535523,74.33608453707132,parking
Unnamed parking,31.574287363710837,74.37892703846188,parking
Unnamed parking,31.575946471025063,74.37888736464403,parking
Unnamed parking,31.57595160025582,74.38086011027387,parking
Unnamed parking,31.574193415814147,74.38004545226231,parking
Unnamed parking,31.575255309038937,74.37896364801591,parking
Unnamed parking,31.538950917530492,74.37380902643007,parking
Unnamed parking,31.53982597077379,74.37317955130905,parking
Unnamed parking,31.53989125474233,74.37023829221542,parking
Unnamed parking,31.539821001824254,74.37144026664194,parking
Unnamed parking,31.538518851470545,74.36980028619827,parking
Unnamed parking,31.569387539212045,74.31789034478739,parking
Unnamed parking,31.574114230569354,74.31573974388932,parking
Unnamed parking,31.574287166549468,74.3148543979642,parking
Unnamed parking,31.570905900144435,74.31517287904448,parking
Unnamed parking,31.571203200039932,74.31499479999779,parking
Unnamed parking,31.572996900004846,74.31390024999938,parking
Unnamed parking,31.573070000005075,74.31426859999857,parking
Unnamed parking,31.537852728822912,74.35571442103698,parking
Unnamed parking,31.538882437262064,74.35463519912747,parking
Unnamed parking,31.538958128670508,74.3535383975202,parking
Unnamed parking,31.523793295199184,74.39353828497019,parking
Unnamed parking,31.538601254091525,74.35492785229042,parking
Unnamed parking,31.540573925827623,74.37002711862162,parking
Unnamed parking,31.54025578905955,74.37253718766128,parking
Unnamed parking,31.54063144109805,74.37404784369356,parking
Unnamed parking,31.542617906625306,74.37330073554463,parking
Unnamed parking,31.542062299649945,74.3733016015603,parking
Unnamed parking,31.57644289207511,74.32217083509349,parking
