Latitude,Longitude,Population
31.501603,74.040457,317
31.487908,74.052662,17
31.486921,74.042387,251
31.495742,74.056836,1
31.494755,74.04656,1
31.483955,74.011564,401
31.49278,74.026009,34
31.491791,74.015733,435
31.478099,74.027942,16
31.47711,74.017669,51
31.485933,74.032113,100
31.484945,74.021838,502
31.458549,74.056516,752
31.467366,74.07096,1338
31.466381,74.060688,234
31.452688,74.072882,1773
31.451703,74.062613,3997
31.460519,74.077057,720
31.459534,74.066786,418
31.448743,74.031806,317
31.457562,74.046245,34
31.456575,74.035976,50
31.442886,74.048173,1739
31.441899,74.037906,1389
31.450717,74.052344,200
31.44973,74.042075,268
31.48106,74.058763,334
31.489879,74.073212,954
31.488894,74.062937,2
31.475198,74.075135,669
31.474213,74.064862,853
31.48303,74.079311,17
31.482046,74.069036,551
31.471253,74.034045,218
31.480074,74.048489,134
31.479087,74.038215,16
31.465395,74.050417,51
31.464408,74.040146,1488
31.473227,74.054589,284
31.472241,74.044317,67
31.453609,74.005167,185
31.47612,74.007396,51
31.516287,74.038526,200
31.525111,74.05298,101
31.524124,74.0427,435
31.510425,74.054909,552
31.509438,74.04463,16
31.518261,74.059084,301
31.517274,74.048805,134
31.548622,74.065513,1037
31.557444,74.079978,519
31.556459,74.069692,886
31.542754,74.081901,669
31.54177,74.071617,1
31.550591,74.086082,100
31.549607,74.075797,285
31.547636,74.055228,33
31.546649,74.044944,2
31.532947,74.057157,67
31.531961,74.046875,418
31.540784,74.061334,351
31.539798,74.051051,184
31.51338,74.085745,786
31.522198,74.100204,234
31.521215,74.089924,3512
31.507513,74.102122,452
31.50653,74.091844,669
31.515346,74.106303,284
31.514364,74.096024,285
31.503576,74.061011,819
31.512396,74.075466,67
31.511411,74.065187,1
31.497712,74.077389,16
31.496727,74.067112,7
31.505546,74.081566,3
31.504562,74.071288,1
31.535902,74.088003,1204
31.544721,74.102469,117
31.543738,74.092185,2
31.530033,74.104386,284
31.52905,74.094105,67
31.537868,74.108569,920
31.536886,74.098286,50
31.526097,74.063261,686
31.534918,74.077721,1438
31.533933,74.067439,335
31.520231,74.079644,6
31.519246,74.069364,34
31.528066,74.083823,134
31.527082,74.073542,16
31.550533,74.007982,3
31.543683,74.014093,34
31.506473,74.013797,251
31.515299,74.028246,335
31.51431,74.017968,1170
31.500615,74.03018,552
31.499626,74.019903,452
31.508451,74.034352,100
31.507462,74.024074,134
31.490801,74.005458,116
31.498637,74.009627,703
31.528996,74.016031,167
31.536834,74.020203,17
31.523136,74.032419,451
31.522147,74.022139,251
31.530973,74.036593,820
31.529985,74.026312,33
31.528006,74.00575,1756
31.51332,74.007689,235
31.521158,74.011859,17
31.418336,74.337134,8280
31.427117,74.351603,12432
31.426154,74.341337,13262
31.412443,74.353462,13361
31.41148,74.343197,5520
31.420261,74.357665,14092
31.419298,74.3474,7230
31.408588,74.312405,562
31.417372,74.326869,15827
31.416407,74.316604,2076
31.410517,74.332933,4298
31.409553,74.322669,1148
31.405587,74.359522,15436
31.414365,74.373991,8354
31.413404,74.363726,14532
31.407508,74.380049,1294
31.406548,74.369785,14313
31.411572,74.265282,15216
31.420362,74.279741,14899
31.419393,74.269476,17391
31.405689,74.281615,7327
31.413509,74.28581,8011
31.412541,74.275546,11113
31.410603,74.255018,11040
31.409632,74.244755,12194
31.407622,74.302142,5374
31.406656,74.291878,3004
31.482046,74.225059,2631
31.490846,74.239528,12359
31.489874,74.229252,3708
31.476163,74.241414,11535
31.475192,74.23114,12359
31.48399,74.245609,5356
31.483019,74.235334,12771
31.514329,74.252119,7289
31.523128,74.266599,19553
31.522158,74.256317,11155
31.508441,74.268479,23324
31.507471,74.2582,21074
31.516269,74.272679,19236
31.515299,74.262399,22152
31.504558,74.227364,32
31.513358,74.241839,158
31.512387,74.231559,1
