name,amenity,lat,lon
Red Lotus,restaurant,31.56154100000001,74.33004319999999
Fujiayama,restaurant,31.558605299999996,74.32791470000001
The Lakhanvi,restaurant,31.55898889999999,74.3273933
Taipan Chinese,restaurant,31.553014599999994,74.3379788
Bukhara,restaurant,31.552897599999994,74.33823729999999
Marco Polo Restaurant,restaurant,31.5528385,74.33842080000001
Pickup Burger,fast_food,31.615123399999998,74.29153899999999
Burger King,fast_food,31.5626179,74.3404911
Cafe Karachi,cafe,31.57718529999999,74.3339036
Bites Sandwich Burger & Shawarma,fast_food,31.57704920000001,74.33419019999998
Chai Rock,fast_food,31.452874599999994,74.2726473
The Veranda,restaurant,31.4665416,74.2740325
آغاٹی سٹور,cafe,31.582361099999996,74.32591619999998
Starry Night,cafe,31.459235400000008,74.28109059999998
المشہور پھجے کے پائے,restaurant,31.585110699999994,74.3127784
Gossip Garden GG Café & Restaurant,restaurant,31.454757699999995,74.27791419999998
Broadway Pizza,fast_food,31.44986359999999,74.2691159
Sweet Tea,cafe,31.45609779999999,74.2237452
AFOHS club,restaurant,31.4948981,74.3519995
Pizza Online,restaurant,31.523118299999993,74.28972509999998
Peeru’s cafe,restaurant,31.41228640000001,74.2327037
Unnamed Dining_Spots,restaurant,31.452782999999997,74.2998998
Cafe Gadushnik,cafe,31.5697659,74.4145561
Delicious Chicken Biryani 220,restaurant,31.521098800000004,74.2913756
BBQ Story,restaurant,31.4931092,74.27535699999999
Sarhad Restaurant,restaurant,31.522048900000005,74.3571413
Unnamed Dining_Spots,cafe,31.5506167,74.3395937
Savour Foods,restaurant,31.568229499999998,74.3257415
McDonald's,fast_food,31.369497299999992,74.2509842
Aura,restaurant,31.468804400000003,74.37605989999999
Kruncheese,restaurant,31.5069782,74.3485789
Dunkin',fast_food,31.447942899999994,74.43336879999998
Beijing Hut,restaurant,31.4479214,74.433472
Subway,fast_food,31.448011599999994,74.43374029999998
Pakwan Center,restaurant,31.448136900000005,74.433801
Karachi Naseeb Biryani,restaurant,31.448241899999992,74.4338609
Restaurant Lahore City,restaurant,31.566661099999997,74.3263612
Bashir Nan Pakoray,restaurant,31.585060900000002,74.31297779999998
عارف ھوٹل اینڈ ریسٹورنٹ,restaurant,31.585262600000007,74.31268709999999
Fazal Din Phajja Siri Paye - Since 1953,restaurant,31.585286600000007,74.312541
عارف چٹخارہ ہاؤس,restaurant,31.585376400000005,74.3122726
Shah Chicken Tawa Roast,restaurant,31.585501299999997,74.3122166
Al Rehman BBQ And Grill Chargha,restaurant,31.5855101,74.3119649
Sukuf,restaurant,31.447411600000002,74.44830639999999
"Pizza Da Napoli, Lahore",restaurant,31.4517332,74.28983719999998
PC Dhaba,restaurant,31.4994991,74.3155467
لاہور چٹخارا,restaurant,31.4840446,74.4571508
Ziafat,restaurant,31.527514900000003,74.3562707
Drip - Coffee Brewery & Bakery,cafe,31.530661400000007,74.3521529
Cheezious,restaurant,31.471049299999997,74.27669079999998
Broadway Pizza - Valencia Town,restaurant,31.40868319999999,74.26035099999999
GATE OF BURGERS,fast_food,31.548754999999993,74.4074625
Desi daira,restaurant,31.502119199999996,74.3738093
Mystique Restaurants,restaurant,31.520518100000004,74.3523862
Poet Mughlai,restaurant,31.353919799999986,74.2520535
Shawarma Stop,fast_food,31.369195000000005,74.253854
Sevva Restaurant,restaurant,31.362286,74.234402
Boomerang,fast_food,31.367566000000004,74.238176
